Word,Count
/,147385
the,61313
of,31910
<param,31088
bound,28373
to,27090
value,24963
<typeparam,23709
<summary>,19377
</summary>,19238
type</typeparam>,19040
is,16455
operation,14308
\name="\A"\>Inner\,12170
inner,8193
operation</param>,7913
side,7876
perform,7841
on</param>,7745
\name="\ma"\>The\,7741
hand,7706
result,7173
which,6821
function,6741
predicate,6728
then,6341
a,6273
\name="\f"\>The\,6199
performing,6125
and,5924
state,5677
values,5573
in,5440
if,5065
`f`,5006
true,4954
aggregate,4848
apply</param>,4561
value(s),4534
If,4471
left,3841
\name="\x"\>The\,3767
right,3741
\name="\y"\>The\,3629
class,3537
types,3496
instance</typeparam>,3455
bind,3227
are,3206
\name="\B"\>Resulting\,3192
A&gt;&gt;`,3045
an,2890
all,2888
new,2795
return,2689
type,2535
when,2527
function</param>,2443
applied,2435
(which,2334
that,2177
whilst,2153
nested,2109
by,2090
no,2056
map,2050
there,2003
with,2001
Finds,1984
`x`,1982
y`</returns>,1972
`x,1972
\name="\NUM"\>`Num<A>`\,1972
two,1957
on,1929
applying,1869
mapping,1869
<returns>The,1824
x,1690
This,1625
`f(a)`</returns>,1601
<returns>True,1555
returns,1546
Returns,1539
it,1506
`Num<A>`,1479
`y`:,1479
`Num<A>`s,1479
any,1375
Monadic,1344
Apply,1319
returned,1297
\name="\S"\>Aggregate\,1294
Create,1287
produce,1284
item,1259
than,1253
folding,1252
compare,1221
using,1209
for,1187
monadic,1187
\type,\,1170
returned)</returns>,1166
returned),1166
traversing,1166
provided,1165
items,1163
from,1121
false,1113
y</returns>,1083
Applies,1079
applied</returns>,1059
or,1045
rules,1043
filtered,1031
out,1030
returned.</returns>,1020
Filter,1015
else,1011
`fa`,986
\name="\fa"\>Monad\,986
\retained,\,979
`f(a)`,979
So,977
maps,953
Takes,952
apply,949
\`A`,\,947
'flips',946
maintaining,946
outer,946
traverses,946
Functor,908
monads,906
state</param>,854
\`Either&lt;L,\,848
\`EitherUnsafe&lt;L,\,848
\`Validation&lt;FAIL,\,848
computation,846
None,765
B&gt;&gt;`,701
Either,663
number,640
<returns>If,639
list,637
action,636
(in,627
between,626
less,619
greater,618
Some,614
-,605
==,604
product,595
bind</param>,594
+,592
as,592
same,590
direction,586
after,586
project,585
both,584
opposite,583
`Fold`),583
projection,581
`a`,581
\name="\project"\>The\,576
project</returns>,576
\name="\C"\>Resulting\,576
\name="\B"\>Intermediate\,576
\name="\bind"\>The\,576
append,575
equal,563
Semigroup,554
contains,542
sum,531
*,526
this,521
iterate,521
(by,518
Traverse,518
`f`),518
difference,511
\`EitherAsync&lt;L,\,509
Try,506
total,506
++,502
<returns>Number,502
count,502
together,501
invoke,501
The,501
Adds,496
Divides,496
`-1`,495
<returns>Total,495
\name="\fab"\>Functor</param>\,493
\name="\ORD"\>`Ord<A>`\,493
fb)`</returns>,493
`fb`,493
`A`s,493
`0`</returns>,493
Side-effecting,493
`fabc`,493
`Ord`,493
`+1`,493
\name="\EQ"\>`Eq<A>`\,493
`Eq`,493
`fab(fa)`</returns>,493
`fab`,493
\`fabc(fa,\,493
\`y`,\,493
\name="\fabc"\>Functor</param>\,493
\name="\SEMI"\>`Semigroup<A>`\,493
\name="\fb"\>Monad\,493
side-effects</param>,493
be,488
\<returns>`Either&lt;L,\,487
\<returns>`Validation&lt;FAIL,\,487
\<returns>`EitherUnsafe&lt;L,\,487
first,482
Option,476
into,450
Right,448
calling,444
\A,\,444
A>(identity)`,428
Sequence,428
equality,413
True,412
one,405
y,404
sequence,396
element,396
`true`,396
value</typeparam>,387
<exception,383
not,381
<returns>New,374
Atomically,373
set,365
Left,361
