File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
I:\dev\language-ext\LanguageExt.Core\Combinators.cs,175,90,29,0,22,0,63,216,0,0
I:\dev\language-ext\LanguageExt.Core\Compose.cs,77,36,16,0,9,0,32,92,0,0
I:\dev\language-ext\LanguageExt.Core\Exceptions.cs,269,153,43,0,29,0,87,194,0,0
I:\dev\language-ext\LanguageExt.Core\TypeclassAttribute.cs,10,8,3,0,2,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Class.cs,119,83,43,9,18,1,18,126,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\ClassInstancesAssembly.cs,129,104,50,7,16,0,9,69,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\TArr.cs,27,22,14,0,5,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\TArray.cs,25,20,13,0,5,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\TBigInt.cs,239,87,31,2,26,0,126,625,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\TBool.cs,122,47,22,0,13,0,62,301,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\TBoolBool.cs,126,51,22,0,13,0,62,304,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\TChar.cs,82,36,15,0,11,0,35,155,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\TDecimal.cs,310,83,41,0,37,0,190,985,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\TDouble.cs,313,86,41,0,37,0,190,985,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\TFloat.cs,311,84,41,0,37,0,190,985,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\TInt.cs,234,82,30,1,26,0,126,625,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\TLong.cs,233,82,30,1,26,0,125,622,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\TLst.cs,24,19,9,0,5,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\TNumericChar.cs,87,40,16,1,12,0,35,155,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\TShort.cs,233,82,30,1,26,0,125,622,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\TString.cs,277,101,39,0,31,0,145,605,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Applicative\ApplArr.cs,96,80,25,0,16,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Applicative\ApplArray.cs,96,80,28,0,16,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Applicative\ApplEither.cs,93,77,23,0,16,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Applicative\ApplEitherAsync.cs,76,61,21,0,15,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Applicative\ApplEitherUnsafe.cs,93,76,22,0,17,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Applicative\ApplEnumerable.cs,96,80,25,0,16,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Applicative\ApplHashSet.cs,277,246,85,26,31,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Applicative\ApplLst.cs,94,77,22,0,17,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Applicative\ApplOption.cs,78,67,17,0,11,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Applicative\ApplOptional.cs,90,78,21,1,12,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Applicative\ApplOptionalUnsafe.cs,90,78,21,1,12,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Applicative\ApplOptionAsync.cs,152,132,53,21,20,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Applicative\ApplOptionUnsafe.cs,78,67,17,0,11,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Applicative\ApplSeq.cs,96,80,25,0,16,0,0,0,0,0
