Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,802,303924,127249,46306,5958,28744,63,147931,959830,385,1195
I:\dev\language-ext,802,303924,127249,46306,5958,28744,63,147931,959830,385,1195
I:\dev\language-ext\LanguageExt.Core,558,280146,110272,36956,5477,24590,33,145284,946896,56,165
I:\dev\language-ext\LanguageExt.Core\ClassInstances,211,19764,13174,5997,946,2774,2,3816,18762,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Applicative,21,2891,2389,943,196,502,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Const,3,754,731,725,0,17,0,6,19,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Eq,45,2344,1257,601,93,292,0,795,4086,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Foldable,4,552,467,277,32,80,0,5,28,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Functor,32,1107,812,346,9,158,0,137,602,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Monad,31,5594,4502,1748,488,954,1,138,538,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Monoid,9,423,329,161,22,70,0,24,103,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Ord,35,2698,1216,562,84,285,0,1197,5917,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Pred,13,476,342,137,0,66,0,68,265,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Pred\Char,1,66,53,22,0,13,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Pred\Lst,5,82,66,35,0,13,0,3,9,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Pred\String,1,17,14,6,0,3,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Semigroup,1,34,20,10,0,6,0,8,40,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes,217,72937,34129,14138,3029,7733,16,31075,176413,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Arr,2,594,377,195,56,78,0,139,521,0,0
